City,Category,Customer_Name,Year,Quarter,Month,Day,Email,Month,Year,Quarter,Month,Day,Order_ID,Order_Status,Payment_Mode,Phone,Product,State,Weekday,Sum of Discount,Sum of Net_Amount,Sum of Profit,Sum of Qty,Sum of Sales,Total Sales,Sum of Unit_Price,Sum of Year
Bengaluru,Electronics,Amit,2025,Qtr 1,February,19,amit22@gmail.com,February,2025,Qtr 1,February,19,ORD1307,Delivered,NetBanking,9261952088,Laptop,Karnataka,Wednesday,0,49995,49995,5,49995,49995,9999,2025
Bengaluru,Electronics,Neha,2025,Qtr 1,January,18,neha63@gmail.com,January,2025,Qtr 1,January,18,ORD1479,Pending,Card,9334823454,Mouse,Karnataka,Saturday,0,19996,19996,4,19996,19996,4999,2025
Bengaluru,Electronics,Neha,2025,Qtr 1,March,11,neha72@gmail.com,March,2025,Qtr 1,March,11,ORD1159,Cancelled,Wallet,9719104422,Laptop,Karnataka,Tuesday,0,7797,7797,3,7797,7797,2599,2025
Bengaluru,Electronics,Neha,2025,Qtr 2,April,6,neha91@gmail.com,April,2025,Qtr 2,April,6,ORD1357,Delivered,COD,9732569957,Mouse,Karnataka,Sunday,0,12995,12995,5,12995,12995,2599,2025
Bengaluru,Electronics,Neha,2025,Qtr 2,April,20,neha34@gmail.com,April,2025,Qtr 2,April,20,ORD1483,Pending,NetBanking,9620909768,Laptop,Karnataka,Sunday,0,3998,3998,2,3998,3998,1999,2025
Bengaluru,Electronics,Neha,2025,Qtr 2,May,17,neha48@gmail.com,May,2025,Qtr 2,May,17,ORD1194,Delivered,Card,9251581328,Laptop,Karnataka,Saturday,0,7495,7495,5,7495,7495,1499,2025
Bengaluru,Electronics,Neha,2025,Qtr 3,August,3,neha25@gmail.com,March,2025,Qtr 1,March,2,ORD1398,Cancelled,NetBanking,9218737753,Laptop,Karnataka,Sunday,0,5997,5997,3,5997,5997,1999,2025
Bengaluru,Electronics,Priya,2025,Qtr 1,January,25,priya18@gmail.com,January,2025,Qtr 1,January,25,ORD1107,Returned,Wallet,9857341843,Laptop,Karnataka,Saturday,0,5997,5997,3,5997,5997,1999,2025
Bengaluru,Electronics,Priya,2025,Qtr 2,April,4,priya48@gmail.com,March,2025,Qtr 1,March,29,ORD1424,Cancelled,NetBanking,9166100655,Laptop,Karnataka,Saturday,0,19998,19998,2,19998,19998,9999,2025
Bengaluru,Electronics,Rahul,2025,Qtr 2,May,12,rahul80@gmail.com,May,2025,Qtr 2,May,12,ORD1364,Cancelled,COD,9356805063,Mouse,Karnataka,Monday,0,2495,2495,5,2495,2495,499,2025
Bengaluru,Electronics,Rohit,2025,Qtr 1,February,12,rohit97@gmail.com,February,2025,Qtr 1,February,12,ORD1119,Cancelled,UPI,9739414080,Laptop,Karnataka,Wednesday,0,9995,9995,5,9995,9995,1999,2025
Bengaluru,Electronics,Rohit,2025,Qtr 2,April,10,rohit72@gmail.com,April,2025,Qtr 2,April,10,ORD1350,Returned,Card,9665886128,Laptop,Karnataka,Thursday,0,49995,49995,5,49995,49995,9999,2025
Bengaluru,Electronics,Rohit,2025,Qtr 2,June,27,rohit72@gmail.com,June,2025,Qtr 2,June,27,ORD1190,Delivered,NetBanking,9828064790,Laptop,Karnataka,Friday,0,4497,4497,3,4497,4497,1499,2025
Bengaluru,Electronics,Vikas,2025,Qtr 2,June,2,vikas8@gmail.com,February,2025,Qtr 1,February,1,ORD1460,Delivered,UPI,9178563209,Mouse,Karnataka,Saturday,0,9998,9998,2,9998,9998,4999,2025
Bengaluru,Electronics,Vikas,2025,Qtr 2,June,3,vikas64@gmail.com,June,2025,Qtr 2,June,3,ORD1356,Returned,NetBanking,9191378164,Laptop,Karnataka,Tuesday,0,10396,10396,4,10396,10396,2599,2025
Bengaluru,Fashion,Amit,2025,Qtr 2,May,20,amit79@gmail.com,May,2025,Qtr 2,May,20,ORD1302,Returned,COD,9239911474,Watch,Karnataka,Tuesday,0,9998,9998,2,9998,9998,4999,2025
Bengaluru,Fashion,Neha,2025,Qtr 1,January,24,neha53@gmail.com,January,2025,Qtr 1,January,24,ORD1406,Delivered,UPI,9256072372,Watch,Karnataka,Friday,0,24995,24995,5,24995,24995,4999,2025
Bengaluru,Fashion,Neha,2025,Qtr 4,October,2,neha93@gmail.com,February,2025,Qtr 1,February,6,ORD1381,Pending,Card,9427460011,Shoes,Karnataka,Thursday,0,12995,12995,5,12995,12995,2599,2025
Bengaluru,Fashion,Priya,2025,Qtr 1,February,5,priya43@gmail.com,February,2025,Qtr 1,February,5,ORD1431,Cancelled,COD,9340031993,Shoes,Karnataka,Wednesday,0,1998,1998,2,1998,1998,999,2025
Bengaluru,Fashion,Priya,2025,Qtr 2,May,14,priya17@gmail.com,May,2025,Qtr 2,May,14,ORD1083,Cancelled,Wallet,9678334449,Shoes,Karnataka,Wednesday,0,12995,12995,5,12995,12995,2599,2025
Bengaluru,Fashion,Priya,2025,Qtr 3,September,6,priya71@gmail.com,June,2025,Qtr 2,June,3,ORD1359,Cancelled,Wallet,9848437643,Shoes,Karnataka,Tuesday,0,7495,7495,5,7495,7495,1499,2025
Bengaluru,Fashion,Priya,2025,Qtr 4,December,3,priya72@gmail.com,March,2025,Qtr 1,March,6,ORD1228,Pending,Wallet,9286654600,Shoes,Karnataka,Thursday,0,998,998,2,998,998,499,2025
Bengaluru,Fashion,Rahul,2025,Qtr 2,April,26,rahul89@gmail.com,April,2025,Qtr 2,April,26,ORD1173,Cancelled,COD,9999073839,Watch,Karnataka,Saturday,0,4999,4999,1,4999,4999,4999,2025
Bengaluru,Fashion,Rohit,2025,Qtr 1,January,24,rohit31@gmail.com,January,2025,Qtr 1,January,24,ORD1201,Delivered,UPI,9117012775,Shoes,Karnataka,Friday,0,3998,3998,2,3998,3998,1999,2025
Bengaluru,Fashion,Rohit,2025,Qtr 3,August,4,rohit96@gmail.com,April,2025,Qtr 2,April,4,ORD1220,Returned,COD,Unknown,Watch,Karnataka,Friday,0,9999,9999,1,9999,9999,9999,2025
Bengaluru,Furniture,Neha,2025,Qtr 2,April,16,neha16@gmail.com,April,2025,Qtr 2,April,16,ORD1143,Returned,COD,9599207109,Chair,Karnataka,Wednesday,0,24995,24995,5,24995,24995,4999,2025
Bengaluru,Furniture,Priya,2025,Qtr 2,June,18,priya44@gmail.com,June,2025,Qtr 2,June,18,ORD1242,Returned,NetBanking,Unknown,Chair,Karnataka,Wednesday,0,39996,39996,4,39996,39996,9999,2025
Bengaluru,Furniture,Rahul,2025,Qtr 1,January,17,rahul1@gmail.com,January,2025,Qtr 1,January,17,ORD1407,Cancelled,Card,9762627881,Chair,Karnataka,Friday,0,9995,9995,5,9995,9995,1999,2025
Bengaluru,Furniture,Rohit,2025,Qtr 2,May,16,rohit29@gmail.com,May,2025,Qtr 2,May,16,ORD1202,Delivered,Wallet,9297341581,Chair,Karnataka,Friday,0,49995,49995,5,49995,49995,9999,2025
Bengaluru,Furniture,Rohit,2025,Qtr 2,June,2,rohit66@gmail.com,February,2025,Qtr 1,February,3,ORD1057,Pending,Wallet,9358211659,Chair,Karnataka,Monday,0,7495,7495,5,7495,7495,1499,2025
Bengaluru,Furniture,Sneha,2025,Qtr 1,March,21,sneha4@gmail.com,March,2025,Qtr 1,March,21,ORD1277,Returned,COD,9514685895,Chair,Karnataka,Friday,0,5198,5198,2,5198,5198,2599,2025
Bengaluru,Furniture,Vikas,2025,Qtr 1,March,6,vikas20@gmail.com,March,2025,Qtr 1,March,6,ORD1019,Returned,COD,9524467082,Chair,Karnataka,Thursday,0,4497,4497,3,4497,4497,1499,2025
Bengaluru,Furniture,Vikas,2025,Qtr 1,March,17,vikas95@gmail.com,March,2025,Qtr 1,March,17,ORD1206,Cancelled,UPI,9428593006,Chair,Karnataka,Monday,0,19998,19998,2,19998,19998,9999,2025
Bengaluru,Furniture,Vikas,2025,Qtr 2,June,20,vikas1@gmail.com,June,2025,Qtr 2,June,20,ORD1392,Cancelled,COD,9619221858,Chair,Karnataka,Friday,0,9999,9999,1,9999,9999,9999,2025
